objectid,identifier,object_location,image_small,image_thumb,title,creator,date,decade,object_transcript,description,subject,location,source,type,format,language,rights,rightsstatement
number,The identifier field is used to preserve the unique identifier assigned to the object by the object’s (usually physical) source collection.,A full URL to a small image representation of the object or relative path if items are contained with in the project.,"A full URL to a small image representation of the object. Used to represent objects on Item pages, or in visualizations where a larger-than-thumb image would be useable Should be JPGs approximately 800x800 px max","A full URL to a thumb image representation of the object . Used to represent the object on visualization pages (i.e. Home, Browse, Map, and Timeline), in a fast, user friendly file size. Thumb images should be JPGs approximately 400x400 px max.","Title, (e.g. descriptive text about the object, historical notes, etc.)","Creator(s), (e.g. Doe, John G., 1967-1999)","original date and/or date range. (YYYY-MM-DD, Use question mark directly after date to indicate circa or approximate date)
DATE OF EVENT DESCRIBED IN OBJECT","e.g. 1890-1899; 1900-1909. THIS FIELD DESCRIBES THE DECADE OF THE EVENTS REFERENCED, IF ITEM IS NOTES",,"(e.g. descriptive text about the object, historical notes, etc.)","names of people depicted or the name of who the item is primarily about. In the case of photos of groups of people enter names in order from left to right, front to back. If a subject's name is  unknown, use and underscore (_): eg Braffett, Josephine, 1900-1996; Braffett, Victoria, 1897-1980; _; Estile, Edna; etc.) ","(e.g. Lummi Island, or Northwest Coast; Lummi Island School)",Contributing instiution or private party and contact information,Image;StillImage,image/jpeg,eng,copyright status,http://rightsstatements.org/vocab/NoC-US/1.0/
ais_bs_1,IMG_5669,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5669.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5669.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5669.jpeg,"189?, Nugent family proximity to school","Aiston, Peggy, d. 1998",1890-1899,1890-1899,,"Nugents lived near McDonald place. Two girls walked - to school where fire station is - winters started before daylight with lantern- also needed it to walk home after school in dark. 
(This would be in 1890s)",Nugent family,"Western Washington University, Center for Pacific Northwest Studies; Peggy Aiston - Research on Lummi Island History collection, 1579-1998","Peggy Aiston - Research on Lummi Island History Collection, 1579-1998",Image;StillImage,image/jpeg,eng,TK?,
ais_bs_2,IMG_5669,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5669.jpeg,,,"189?, C. R. Norman became teacher","Aiston, Peggy, d. 1998",1886-1891,1890-1899,,"(4) see photocopy Beach
pg 789
C. R. Norman became. .. first teacher in a little school building built upon land donated by Mr. Peterson. (Mr. Norman arrived around 1886 or a little later - 1891 per (5) pg 813-14","Norman, C. R.; Peterson, Theodore","Western Washington University, Center for Pacific Northwest Studies; Peggy Aiston - Research on Lummi Island History collection, 1579-1998","Peggy Aiston - Research on Lummi Island History Collection, 1579-1998",Image;StillImage,image/jpeg,eng,TK?,
ais_bs_3,IMG_5669,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5669.jpeg,,,"1891-1898, Norman teaches at school","Aiston, Peggy, d. 1998",1891-1898,1890-1899,,"(5) pgs 813-14
C. R. Norman taught school on LI between 1891 when he arrived and 1898 when he moved to Fairhaven.","Norman, C. R.","Western Washington University, Center for Pacific Northwest Studies; Peggy Aiston - Research on Lummi Island History collection, 1579-1998","Peggy Aiston - Research on Lummi Island History Collection, 1579-1998",Image;StillImage,image/jpeg,eng,TK?,
ais_bs_4,IMG_5669,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5669.jpeg,,,"189?, C. R. Norman also postmaster","Aiston, Peggy, d. 1998",1891-1898,1890-1899,,"(2)
pg 400
... C. R. Norman who taught the first [correction in pen: ""No""] school and was the second [correction in pen: ""6th""] postmaster at Beach","Norman, C. R.","Western Washington University, Center for Pacific Northwest Studies; Peggy Aiston - Research on Lummi Island History collection, 1579-1998","Peggy Aiston - Research on Lummi Island History Collection, 1579-1998",Image;StillImage,image/jpeg,eng,TK?,
ais_bs_5,IMG_5669,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5669.jpeg,,,"1890-07-19, All-county teacher meeting","Aiston, Peggy, d. 1998",1890-07-19,1890-1899,,"N-7 BBE July 19, 1890--All county teachers meet in Lynden 8/3. Co. supt. - H. J. Swim. (Beth)","Norman, C. R.","Western Washington University, Center for Pacific Northwest Studies; Peggy Aiston - Research on Lummi Island History collection, 1579-1998","Peggy Aiston - Research on Lummi Island History Collection, 1579-1998",Image;StillImage,image/jpeg,eng,TK?,
ais_bs_6,IMG_5670,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5670.jpeg,,,"1890-05-17, Delia Bacus hired to teach","Aiston, Peggy, d. 1998",1890,1890-1899,,"WWU Archives
Agreement bet. Delia Bacus + F. F. Lane Wesley Thompson + Wm W. Chapin Drietirs dated 17 May 1890 to teach 5 months with an intermission of 1 mo. at close of 1st 3 mos. commencing 19 May 1890 - she to have teaching cert - to be pd. 35.00 mo. of 20 school days","Bacus, Delia; Lane, Frederick F.; Thompson, Wesley; Chapin, Wm. W.","Western Washington University, Center for Pacific Northwest Studies; Peggy Aiston - Research on Lummi Island History collection, 1579-1998","Peggy Aiston - Research on Lummi Island History Collection, 1579-1998",Image;StillImage,image/jpeg,eng,,
ais_bs_7,IMG_5671,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5671.jpeg,,,"1890-10, Number of pupils","Aiston, Peggy, d. 1998",1890,1890-1899,,"M-22
Pg 11
Oct 1890 - 37 pupils",,"Western Washington University, Center for Pacific Northwest Studies; Peggy Aiston - Research on Lummi Island History collection, 1579-1998","Peggy Aiston - Research on Lummi Island History Collection, 1579-1998",Image;StillImage,image/jpeg,eng,,
ais_bs_8,IMG_5671,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5671.jpeg,,,"1888, Chaplin, Thompson, and Granger named","Aiston, Peggy, d. 1998",1888,1880-1889,,"M-34 See 1888
W. W. Chaplin
W. Thompson
Melzar Granger, Clk Beach","Chapin, W. W.; Thompson, Wesley; Granger, Melzar","Western Washington University, Center for Pacific Northwest Studies; Peggy Aiston - Research on Lummi Island History collection, 1579-1998","Peggy Aiston - Research on Lummi Island History Collection, 1579-1998",Image;StillImage,image/jpeg,eng,,
ais_bs_9,IMG_5672,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5672.jpeg,,,"1890-11-01, List of election participants","Aiston, Peggy, d. 1998",1890,1890-1899,,"WWU Archives
Election Schl W 32 1890
M. Granger
E. Wilson?
Wm. Bacus
Donald McMurchie
Geo. Arnott
John Coxson
A. F. Bowder
J. R. Barrett
Theodore Peterson
Christian Tuttle
Johnathan Houper
11/1/1890 Oath of Judges
T. Peterson + C. Tuttle re election signed also by J. R. Barrett, Clerk of Election + Wesley Thompson Derictor
Christian Tuttle elected 3 yrs + Theodore Peterson elected 2 yrs","Granger, Melzar; Wilson, E.; Bacus, Wm.; McMerchie, Donald; Arnott, George; Coxson, John; Bowder, A. F.; Barrett, J. R.; Peterson, Theodore; Tuttle, Christian; Houper, Johnathan; Thompson, Wesley","Western Washington University, Center for Pacific Northwest Studies; Peggy Aiston - Research on Lummi Island History collection, 1579-1998","Peggy Aiston - Research on Lummi Island History Collection, 1579-1998",Image;StillImage,image/jpeg,eng,,
ais_bs_10,IMG_5673,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5673.jpeg,,,"1890, Teacher's report of instruction","Aiston, Peggy, d. 1998",1890-05-21 through 1890-10-24,1890-1899,,"Teacher's School Report
Beg May 21, 1890
End Oct 24, 1890
Clerk - Melzar Granger
Directors - F. F. Lane - W. W. Chapin Wesley Thompson
Students = 25 16M 9F avg = 22
avg daily altered [attended?] 18 1/19
How many not [met?] about 1 day = 2
Length sch in wks = 20
Wages teach incl bd = 35.00
Daily recit = 23
4 Reading classes + 23 pupils
2 Spelling [check]   18 [check]
1 Penmanship [check].  25 [check]
4 Arith [check]   21 [check]
1 Grammar [check]   7 [check]
2 Geog [check]   10 [check]
1 US Hist [checck]   3 [check]
Physiology   = 25 pupils
1 visit by Supt 2 by Directors
1 [check] [check] Clerk
Third grade cert May 10, 1890
Taught before - 7 schools
Miss M. Dec Bacus Teacher","Granger, Melzar; Lane, Frederick F.; Chapin, W. W.; Thompson, Wesley; Bacus, Delia","Western Washington University, Center for Pacific Northwest Studies; Peggy Aiston - Research on Lummi Island History collection, 1579-1998","Peggy Aiston - Research on Lummi Island History Collection, 1579-1998",Image;StillImage,image/jpeg,eng,,
ais_bs_11,IMG_5675,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5675.jpeg,,,"1891-08-14, Details of teacher's contract","Aiston, Peggy, d. 1998",1891-09-14,1890-1899,,"Teachers Contract
C. R. Norman to teach for 3 school months starting 17 Aug 1891 = 50.00 per mo
Signed 14 Aug 1891
Theo Peterson
Director","Norman, C. R.; Peterson, Theodore","Western Washington University, Center for Pacific Northwest Studies; Peggy Aiston - Research on Lummi Island History collection, 1579-1998","Peggy Aiston - Research on Lummi Island History Collection, 1579-1998",Image;StillImage,image/jpeg,eng,,
